test_id,query,cached_query,expected_behavior,semantic_boundary,micro_distinction,difficulty_level,false_positive_risk,business_impact,linguistic_rationale,test_category,regular_source,regular_confidence,regular_precision_score,enhanced_source,enhanced_confidence,enhanced_precision_score,winner,precision_improvement
FP-028,The team completed the project in record time,The project was completed in record time by the team,cache_hit,semantic_roles,Agent-focused vs patient-focused perspective equivalence,3,low,Both convey identical accomplishment with preserved agency,Perspective shift maintains semantic roles and event structure,perspective_alternation,cache,0.6531352909407578,0.7,llm_fallback,0.0,0.3,regular,-0.39999999999999997
FP-029,The system processed 1000 transactions per second,1000 transactions per second were processed by the system,cache_hit,semantic_roles,Subject vs object focus in performance reporting,2,low,Both report identical system performance metrics,Focus alternation preserves quantitative performance information,performance_focus,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
FP-030,The database stores customer information securely,Customer information is stored securely in the database,cache_hit,semantic_roles,Container vs content focus equivalence,3,low,Both describe identical data storage arrangement,Locative alternation preserves spatial/containment relationships,locative_alternation,llm,0.0,0.3,llm_fallback,0.0,0.3,tie,0.0
FP-031,Stop sending me promotional emails,Don't send me promotional emails,cache_miss,presupposition,Stop vs don't presupposition difference,8,high,Presupposition affects customer relationship and email preference interpretation,"'Stop' presupposes ongoing activity, 'don't' makes no temporal presupposition",cessation_presupposition,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-032,The new CFO will implement cost-cutting measures,The CFO will implement cost-cutting measures,cache_miss,presupposition,New vs established position presupposition,7,medium,'New' presupposes recent appointment affecting change interpretation,'New' triggers presupposition of recent role assumption,novelty_presupposition,cache,0.7666700005531312,0.0,llm_fallback,0.0,1.0,enhanced,1.0
FP-033,Even the junior developers understood the architecture,The junior developers understood the architecture,cache_miss,presupposition,Even-triggered scalar presupposition,9,medium,'Even' presupposes unexpectedness affecting competency evaluation,'Even' presupposes that junior developers are least likely to understand,scalar_presupposition,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-034,It was John who designed the security protocol,John designed the security protocol,cache_miss,presupposition,Cleft vs simple sentence presupposition,6,medium,"Cleft construction presupposes others didn't design it, affecting attribution",Cleft construction presupposes exclusive agency and exhaustivity,cleft_presupposition,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-035,The meeting has been rescheduled again,The meeting has been rescheduled,cache_miss,presupposition,Again-triggered repetition presupposition,7,medium,'Again' presupposes previous rescheduling affecting reliability perception,'Again' presupposes at least one prior occurrence of the same event,repetition_presupposition,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-036,Some of the features are working correctly,All of the features are working correctly,cache_miss,pragmatic_implicature,Some vs all scalar implicature,8,high,'Some' implicates 'not all' affecting system status interpretation,'Some' typically implicates 'not all' via Gricean maxim of quantity,scalar_implicature,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-037,The performance is acceptable,The performance is excellent,cache_miss,pragmatic_implicature,Acceptable vs excellent evaluation implicature,7,medium,'Acceptable' implicates minimal satisfaction vs 'excellent' high satisfaction,'Acceptable' implicates adequacy without enthusiasm compared to stronger terms,evaluative_implicature,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-038,The task is not impossible,The task is possible,cache_miss,pragmatic_implicature,Not impossible vs possible strength implicature,9,medium,'Not impossible' is weaker than 'possible' affecting feasibility assessment,Negative polarity weakens commitment compared to positive assertion,polarity_implicature,cache,0.6534655874064483,0.0,llm_fallback,0.0,1.0,enhanced,1.0
FP-039,The solution works in most cases,The solution works in all cases,cache_miss,pragmatic_implicature,Most vs all reliability implicature,8,high,'Most' admits exceptions affecting reliability guarantees,'Most' implicates existence of exceptional cases where solution fails,reliability_implicature,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-040,I believe the deadline is achievable,The deadline is achievable,cache_miss,pragmatic_implicature,Belief statement vs assertion certainty,6,medium,'I believe' indicates uncertainty vs direct assertion of certainty,Belief verbs reduce speaker commitment compared to direct assertion,commitment_implicature,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-041,Authorize payment to vendor account #12345,Authorize payment from vendor account #12345,cache_miss,semantic_roles,Payment direction: to vs from,10,critical,Payment direction reversal causes financial loss and vendor relationship damage,Directional prepositions encode opposite transfer relationships,directional_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-042,Backup database every 6 hours,Backup database every 8 hours,cache_miss,temporal_precision,2-hour frequency difference in critical operations,8,high,Backup frequency affects data recovery capability and compliance,Temporal intervals in operational contexts require exact specification,operational_frequency,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-043,Increase server capacity by 25%,Decrease server capacity by 25%,cache_miss,semantic_roles,Increase vs decrease operational direction,10,critical,Opposite capacity operations cause service disruption and resource misallocation,Antonymous verbs create semantically opposite operational commands,operational_direction,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-044,Grant read-only access to the database,Grant write access to the database,cache_miss,semantic_roles,Read-only vs write permission level,9,critical,Permission level difference affects data security and integrity,Access permissions encode different privilege levels with security implications,permission_granularity,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-045,Deploy to production environment,Deploy to staging environment,cache_miss,scope_boundaries,Production vs staging environment scope,10,critical,Environment confusion causes unintended production deployments,Environment specifications represent distinct operational contexts,environment_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-046,Execute batch process before midnight EST,Execute batch process before midnight PST,cache_miss,temporal_precision,EST vs PST timezone specification,9,high,Timezone differences affect scheduling accuracy and SLA compliance,Timezone specifications represent distinct temporal reference frames,timezone_precision,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-047,Set maximum concurrent connections to 100,Set minimum concurrent connections to 100,cache_miss,numerical_specificity,Maximum vs minimum threshold direction,9,critical,Threshold direction affects system capacity and performance limits,Maximum and minimum represent opposite constraint boundaries,threshold_direction,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-048,Enable SSL encryption for all connections,Disable SSL encryption for all connections,cache_miss,semantic_roles,Enable vs disable security feature,10,critical,Security feature toggle affects data protection and compliance,Enable/disable represent binary opposite states for security controls,security_state,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-049,Compress files larger than 10MB,Compress files smaller than 10MB,cache_miss,numerical_specificity,Larger vs smaller threshold comparison,8,high,Size threshold direction affects compression strategy and storage efficiency,Comparative operators define opposite inclusion criteria,comparison_direction,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
FP-050,Retry failed operations up to 3 times,Retry failed operations up to 5 times,cache_miss,numerical_specificity,3 vs 5 retry attempt limit,7,medium,Retry limits affect system resilience and resource consumption,Retry counts represent distinct operational tolerance levels,resilience_parameters,llm,0.0,1.0,llm_fallback,0.0,1.0,tie,0.0
